Substance,CAS,URL Link,Uses
Teniposide,29767-20-2,https://pubchem.ncbi.nlm.nih.gov/compound/29767-20-2,
Terbacil,5902-51-2,https://pubchem.ncbi.nlm.nih.gov/compound/5902-51-2,
Teriparatide,52232-67-4,https://pubchem.ncbi.nlm.nih.gov/compound/52232-67-4,
Terrazole,2593-15-9,https://pubchem.ncbi.nlm.nih.gov/compound/2593-15-9,
Testosterone and its esters,,,
Testosterone cypionate,58-20-8,https://pubchem.ncbi.nlm.nih.gov/compound/58-20-8,
Testosterone enanthate,315-37-7,https://pubchem.ncbi.nlm.nih.gov/compound/315-37-7,
Tetrabromobisphenol A,79-94-7,https://pubchem.ncbi.nlm.nih.gov/compound/79-94-7,"Flame retardants, Electrical and Electronic Products, Plastic and Rubber Products not covered elsewhere"
"3,3',4,4'-Tetrachloroazobenzene",,,
"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",,,
"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",,,
"1,1,1,2-Tetrachloroethane",630-20-6,https://pubchem.ncbi.nlm.nih.gov/compound/630-20-6,
"1,1,2,2-Tetrachloroethane",79-34-5,https://pubchem.ncbi.nlm.nih.gov/compound/79-34-5,"Volatile organic compounds, The production of 1,1,2,2-tetrachloroethane as an end-product has decreased significantly in the United States., In the past, 1,1,2,2-tetrachloroethane was used in large amounts to produce trichloroethylene, tetrachloroethylene, and 1,2,-dichloroethylene., It was also used as a solvent, in cleaning and degreasing metals, in paint removers, varnishes and lacquers, in photographic films, as an extractant for oils and fats, and in pesticides."
Tetrachloroethylene (Perchloroethylene),,,
"p-a,a,a-Tetrachlorotoluene",,,
Tetrachlorvinphos,22248-79-9,https://pubchem.ncbi.nlm.nih.gov/compound/22248-79-9,
Tetracycline (internal use),,,
Tetracyclines (internal use),,,
Tetracycline hydrochloride (internal use),,,
Tetrafluoroethylene,116-14-3,https://pubchem.ncbi.nlm.nih.gov/compound/116-14-3,
Tetranitromethane,509-14-8,https://pubchem.ncbi.nlm.nih.gov/compound/509-14-8,
Thalidomide,50-35-1,https://pubchem.ncbi.nlm.nih.gov/compound/50-35-1,Human drug
Thioacetamide,62-55-5,https://pubchem.ncbi.nlm.nih.gov/compound/62-55-5,
"4,4'-Thiodianiline",139-65-1,https://pubchem.ncbi.nlm.nih.gov/compound/139-65-1,
Thiodicarb,,,
Thioguanine,,,
Thiophanate methyl,,,
Thiouracil,141-90-2,https://pubchem.ncbi.nlm.nih.gov/compound/141-90-2,
Thiourea,62-56-6,https://pubchem.ncbi.nlm.nih.gov/compound/62-56-6,"Finishing agents, Photosensitive chemicals, Plating agents and surface treating agents, Processing aids, specific to petroleum production, Paints and Coatings, Photographic Supplies, Film, and Photochemicals"
Thorium dioxide,1314-20-1,https://pubchem.ncbi.nlm.nih.gov/compound/1314-20-1,
"Titanium dioxide (airborne, unbound particles of respirable size)",,,
"Tobacco, oral use of smokeless products",,,
Tobacco smoke,,,
Tobacco smoke (primary),,,
Tobramycin sulfate,,,
Toluene,108-88-3,https://pubchem.ncbi.nlm.nih.gov/compound/108-88-3,
Toluene diisocyanate,584-84-9,https://pubchem.ncbi.nlm.nih.gov/compound/584-84-9,"2,4-Toluene diisocyanate is used as a chemical intermediate in the production of polyurethane products such as foams, coatings, and elastomers., Adhesives and sealant chemicals, Paints and Coatings"
o-Toluidine,95-53-4,https://pubchem.ncbi.nlm.nih.gov/compound/95-53-4,
o-Toluidine hydrochloride,636-21-5,https://pubchem.ncbi.nlm.nih.gov/compound/636-21-5,
Topiramate,97240-79-4,https://pubchem.ncbi.nlm.nih.gov/compound/97240-79-4,Human drug
Toxaphene (Polychlorinated camphenes),,,
Toxins derived from Fusarium moniliforme (Fusarium verticillioides),,,
Treosulfan,299-75-2,https://pubchem.ncbi.nlm.nih.gov/compound/299-75-2,Human drug
Triadimefon,43121-43-3,https://pubchem.ncbi.nlm.nih.gov/compound/43121-43-3,
Triamterene,396-01-0,https://pubchem.ncbi.nlm.nih.gov/compound/396-01-0,
Triazolam,28911-01-5,https://pubchem.ncbi.nlm.nih.gov/compound/28911-01-5,
"S,S,S-Tributyl phosphorotrithioate (Tribufos, DEF)",,,
Tributyltin methacrylate,,,
Trichlormethine (Trimustine hydrochloride),,,
Trichloroacetic acid,76-03-9,https://pubchem.ncbi.nlm.nih.gov/compound/76-03-9,
Trichloroethylene,79-01-6,https://pubchem.ncbi.nlm.nih.gov/compound/79-01-6,
Trichloroethylene,79-01-6,https://pubchem.ncbi.nlm.nih.gov/compound/79-01-6,
"2,4,6-Trichlorophenol",88-06-2,https://pubchem.ncbi.nlm.nih.gov/compound/88-06-2,"2,4,6-Trichlorophenol is no longer used in the United States. It was previously used as an antiseptic; a pesticide for wood, leather, and glue preservation; and as an anti-mildew treatment. It was also used in the manufacture of other chemicals., Production of 2,4,6-trichlorophenol was discontinued in the United States in the 1980s."
"1,2,3-Trichloropropane",96-18-4,https://pubchem.ncbi.nlm.nih.gov/compound/96-18-4,"Volatile organic compounds, Adhesives and Sealants, Paints and Coatings"
Trientine hydrochloride,,,
Triforine,,,
Trilostane,13647-35-3,https://pubchem.ncbi.nlm.nih.gov/compound/13647-35-3,
Trimethadione,127-48-0,https://pubchem.ncbi.nlm.nih.gov/compound/127-48-0,
"2,4,5-Trimethylaniline and its strong acid salts",,,
Trimethyl phosphate,512-56-1,https://pubchem.ncbi.nlm.nih.gov/compound/512-56-1,
Trimetrexate glucuronate,,,
"2,4,6-Trinitrotoluene (TNT)",,,
Triphenyltin hydroxide,76-87-9,https://pubchem.ncbi.nlm.nih.gov/compound/76-87-9,
Triphenyltin hydroxide,76-87-9,https://pubchem.ncbi.nlm.nih.gov/compound/76-87-9,
Tris(1-aziridinyl)phosphine sulfide (Thiotepa),,,
Tris(2-chloroethyl) phosphate,115-96-8,https://pubchem.ncbi.nlm.nih.gov/compound/115-96-8,"Flame retardants, Paints and Coatings"
"Tris(2,3-dibromopropyl)phosphate",126-72-7,https://pubchem.ncbi.nlm.nih.gov/compound/126-72-7,
"Tris(1,3-dichloro-2-propyl) phosphate (TDCPP)",,,
Trp-P-1 (Tryptophan-P-1),,,
Trp-P-2 (Tryptophan-P-2),,,
Trypan blue (commercial grade),,,
Unleaded gasoline (wholly vaporized),,,
Uracil mustard,66-75-1,https://pubchem.ncbi.nlm.nih.gov/compound/66-75-1,
Uracil mustard,66-75-1,https://pubchem.ncbi.nlm.nih.gov/compound/66-75-1,
Urethane (Ethyl carbamate),,,
Urethane (Ethyl carbamate),,,
Urofollitropin,146479-72-3,https://pubchem.ncbi.nlm.nih.gov/compound/146479-72-3,
Valproate (Valproic acid),,,
Vanadium pentoxide (orthorhombic crystalline form),,,
Vinblastine sulfate,,,
"Vinclozolin [basis for listing changed on November 16, 2006]",,,
Vinclozolin,50471-44-8,https://pubchem.ncbi.nlm.nih.gov/compound/50471-44-8,
Vincristine sulfate,,,
Vinyl bromide,593-60-2,https://pubchem.ncbi.nlm.nih.gov/compound/593-60-2,"Vinyl bromide is primarily used in the manufacture of flame retardant synthetic fibers. Its copolymer with vinyl chloride is also used for preparing films, for laminating fibers, and as rubber substitutes."
Vinyl chloride,75-01-4,https://pubchem.ncbi.nlm.nih.gov/compound/75-01-4,"Volatile organic compounds, Most of the vinyl chloride produced in the United States is used to make polyvinyl chloride (PVC), a material used to manufacture a variety of plastic and vinyl products including pipes, wire and cable coatings, and packaging materials., Smaller amounts of vinyl chloride are used in furniture and automobile upholstery, wall coverings, housewares, and automotive parts., Vinyl chloride has been used in the past as a refrigerant., Adhesives and sealant chemicals, Paint additives and coating additives not described by other categories, Plastic and Rubber Products not covered elsewhere"
4-Vinylcyclohexene,100-40-3,https://pubchem.ncbi.nlm.nih.gov/compound/100-40-3,"Fuels and fuel additives, Solvents (which become part of product formulation or mixture), Fuels and Related Products"
4-Vinyl-1-cyclohexene diepoxide (Vinyl cyclohexenedioxide),,,
Vinyl fluoride,75-02-5,https://pubchem.ncbi.nlm.nih.gov/compound/75-02-5,
Vinylidene chloride ,,,
"(1,1-Dichloroethylene)",75-35-4,https://pubchem.ncbi.nlm.nih.gov/compound/75-35-4,"Volatile organic compounds, Vinylidene chloride is used as an intermediate for organic chemical synthesis., Vinylidene chloride is also used in the production of polyvinylidene chloride copolymers. The major application of these chloride copolymers is in the production of flexible films for food packaging (SARAN® and VELON® wraps)., These copolymers are also used extensively in many types of packing materials, as flame retardant coatings for fiber and carpet backing and in piping, coating for steel pipes, and adhesive applications."
"Vinyl trichloride (1,1,2-Trichloroethane)",,,
Vismodegib,879085-55-9,https://pubchem.ncbi.nlm.nih.gov/compound/879085-55-9,Human drug
Warfarin,81-81-2,https://pubchem.ncbi.nlm.nih.gov/compound/81-81-2,
Wood dust,,,
"2,6-Xylidine (2,6-Dimethylaniline)",,,
Zalcitabine,7481-89-2,https://pubchem.ncbi.nlm.nih.gov/compound/7481-89-2,
Zidovudine (AZT),,,
Zileuton,111406-87-2,https://pubchem.ncbi.nlm.nih.gov/compound/111406-87-2,
